platform,vflows,configuration,resource,unit,value,source,rio_only,pifo_one,pifo_count,pifo_total,pifo_source,measurement_kind
vivado,128,replay,uram288_blocks,blocks,0,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,static,bram_uram_allocated_bits,bits,129024,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json,129024,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,bram_uram_allocated_bits,bits,129024,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json,129024,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,static,lutram_luts,LUTs,1048,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json,1048,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,lutram_luts,LUTs,1368,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json,1368,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,static,dsp_blocks,blocks,0,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,dsp_blocks,blocks,0,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
quartus,512,static,logic_alms,ALMs,564317,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json,281742,56515,5,282575,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,replay,logic_alms,ALMs,623598,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json,341023,56515,5,282575,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,static,logic_aluts,ALUTs,846924,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json,375504,94284,5,471420,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,replay,logic_aluts,ALUTs,1043406,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json,571986,94284,5,471420,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,static,registers,bits,380853,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json,232063,29758,5,148790,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,replay,registers,bits,526903,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json,378113,29758,5,148790,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,static,block_memory_bits,bits,187200,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json,187200,0,5,0,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,replay,block_memory_bits,bits,271680,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json,271680,0,5,0,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,static,mlab_memory_bits,bits,0,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,replay,mlab_memory_bits,bits,0,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,static,dsp_blocks,blocks,0,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,replay,dsp_blocks,blocks,0,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,512,static,logic_luts,LUTs,868014,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json,267449,120113,5,600565,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,replay,logic_luts,LUTs,975725,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json,375160,120113,5,600565,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,static,registers,bits,413536,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json,264471,29813,5,149065,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,replay,registers,bits,526266,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json,377201,29813,5,149065,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,static,bram36_tiles,tiles,16.0,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json,16.0,0.0,5,0.0,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,replay,bram36_tiles,tiles,21.0,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json,21.0,0.0,5,0.0,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,static,uram288_blocks,blocks,0,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,replay,uram288_blocks,blocks,0,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,static,bram_uram_allocated_bits,bits,589824,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json,589824,0,5,0,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,replay,bram_uram_allocated_bits,bits,774144,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json,774144,0,5,0,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,static,lutram_luts,LUTs,628,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json,628,0,5,0,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,512,replay,lutram_luts,LUTs,628,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json,628,0,5,0,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,sum_of_synthesized_components
