platform,vflows,variant,resource,value,source
quartus,1024,replay,block_memory_bits,1426064152.0,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-quartus/resource-summary.json
quartus,1024,replay,dsp_blocks,0.0,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-quartus/resource-summary.json
quartus,1024,replay,logic_alms,479742.0,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-quartus/resource-summary.json
quartus,1024,replay,logic_aluts,681729.0,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-quartus/resource-summary.json
quartus,1024,replay,mlab_memory_bits,0.0,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-quartus/resource-summary.json
quartus,1024,replay,registers,923812.0,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-quartus/resource-summary.json
quartus,1024,replay_m20k,block_memory_bits,1426719512.0,../r4-replay/journal-m20k/runs/full-m20k/resource-summary.json
quartus,1024,replay_m20k,dsp_blocks,0.0,../r4-replay/journal-m20k/runs/full-m20k/resource-summary.json
quartus,1024,replay_m20k,logic_alms,355832.0,../r4-replay/journal-m20k/runs/full-m20k/resource-summary.json
quartus,1024,replay_m20k,logic_aluts,446357.0,../r4-replay/journal-m20k/runs/full-m20k/resource-summary.json
quartus,1024,replay_m20k,mlab_memory_bits,0.0,../r4-replay/journal-m20k/runs/full-m20k/resource-summary.json
quartus,1024,replay_m20k,registers,268415.0,../r4-replay/journal-m20k/runs/full-m20k/resource-summary.json
quartus,1024,static,block_memory_bits,880804632.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,static,dsp_blocks,0.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,static,logic_alms,249166.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,static,logic_aluts,257723.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,static,mlab_memory_bits,0.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,static,registers,145293.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
vivado,32,dynamic,bram36_tiles,60.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,bram_uram_allocated_bits,2211840.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,dsp_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,logic_luts,3853.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,lutram_luts,592.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,registers,2355.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,dynamic,uram288_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-dynamic-vivado/resource-summary.json
vivado,32,replay,bram36_tiles,51.5,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,bram_uram_allocated_bits,1898496.0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,dsp_blocks,0.0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,logic_luts,4011.0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,lutram_luts,552.0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,registers,2125.0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,uram288_blocks,0.0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,static,bram36_tiles,30.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,bram_uram_allocated_bits,1105920.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,dsp_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
