platform,vflows,variant,baseline,resource,baseline_value,value,absolute_change,percent_change
vivado,128,replay,dynamic,bram_uram_allocated_bits,38338560.0,25583616.0,-12754944.0,-33.26923076923077
vivado,128,replay,static,dsp_blocks,0.0,0.0,0.0,
vivado,128,replay,dynamic,dsp_blocks,0.0,0.0,0.0,
vivado,128,replay,static,logic_luts,7362.0,13567.0,6205.0,84.28416191252377
vivado,128,replay,dynamic,logic_luts,14035.0,13567.0,-468.0,-3.3345208407552547
vivado,128,replay,static,lutram_luts,832.0,912.0,80.0,9.615384615384615
vivado,128,replay,dynamic,lutram_luts,1072.0,912.0,-160.0,-14.925373134328359
vivado,128,replay,static,registers,6107.0,7837.0,1730.0,28.32814802685443
vivado,128,replay,dynamic,registers,8707.0,7837.0,-870.0,-9.991960491558515
vivado,128,replay,static,uram288_blocks,0.0,0.0,0.0,
vivado,128,replay,dynamic,uram288_blocks,0.0,0.0,0.0,
vivado,256,dynamic,static,bram36_tiles,2082.5,4482.5,2400.0,115.24609843937576
vivado,256,dynamic,static,bram_uram_allocated_bits,76769280.0,165242880.0,88473600.0,115.24609843937576
vivado,256,dynamic,static,dsp_blocks,0.0,0.0,0.0,
vivado,256,dynamic,static,logic_luts,26859.0,37402.0,10543.0,39.2531367511821
vivado,256,dynamic,static,lutram_luts,942.0,1542.0,600.0,63.69426751592356
vivado,256,dynamic,static,registers,17826.0,18221.0,395.0,2.2158644676315493
vivado,256,dynamic,static,uram288_blocks,0.0,0.0,0.0,
vivado,512,dynamic,static,bram36_tiles,8647.5,19215.0,10567.5,122.20294882914138
vivado,512,dynamic,static,bram_uram_allocated_bits,318781440.0,708341760.0,389560320.0,122.20294882914138
vivado,512,dynamic,static,dsp_blocks,0.0,0.0,0.0,
vivado,512,dynamic,static,logic_luts,64537.0,86161.0,21624.0,33.506360692316036
vivado,512,dynamic,static,lutram_luts,664.0,664.0,0.0,0.0
vivado,512,dynamic,static,registers,37735.0,35875.0,-1860.0,-4.929110904995363
vivado,512,dynamic,static,uram288_blocks,0.0,0.0,0.0,
vivado,1024,dynamic,static,bram36_tiles,35850.0,81937.5,46087.5,128.55648535564853
vivado,1024,dynamic,static,bram_uram_allocated_bits,1321574400.0,3020544000.0,1698969600.0,128.55648535564853
vivado,1024,dynamic,static,dsp_blocks,0.0,0.0,0.0,
vivado,1024,dynamic,static,logic_luts,219107.0,345710.0,126603.0,57.78135796665556
vivado,1024,dynamic,static,lutram_luts,824.0,824.0,0.0,0.0
vivado,1024,dynamic,static,registers,84909.0,76037.0,-8872.0,-10.448833456995136
vivado,1024,dynamic,static,uram288_blocks,0.0,0.0,0.0,
vivado,1024,replay,static,bram36_tiles,35850.0,51230.5,15380.5,42.9023709902371
