cycle,request_id,global_flow_id,size_bytes
1378,506,2,48
1380,507,3,48
1383,508,4,48
1386,509,5,48
1389,510,6,48
1391,511,7,48
1394,512,8,48
1396,513,1,48
1399,514,2,48
1401,515,3,48
1404,516,4,48
1407,517,5,48
1410,518,6,48
1412,519,7,48
1415,520,8,48
1418,521,1,48
1421,522,2,48
1423,523,3,48
1426,524,4,48
1429,525,5,48
1432,526,6,48
1434,527,7,48
1437,528,8,48
1440,529,1,48
1443,530,2,48
1445,531,3,48
1448,532,4,48
1451,533,5,48
1454,534,6,48
1456,535,7,48
1459,536,8,48
1462,537,1,48
1465,538,2,48
1467,539,3,48
1470,540,4,48
1473,541,5,48
1476,542,6,48
1478,543,7,48
1481,544,8,48
1484,545,1,48
1487,546,2,48
1489,547,3,48
1492,548,4,48
1495,549,5,48
1498,550,6,48
1500,551,7,48
1503,552,8,48
1505,553,1,48
1508,554,2,48
1510,555,3,48
1513,556,4,48
1516,557,5,48
1519,558,6,48
1521,559,7,48
1524,560,8,48
1527,561,1,48
1530,562,2,48
1532,563,3,48
1535,564,4,48
1538,565,5,48
1541,566,6,48
1543,567,7,48
1546,568,8,48
1549,569,1,48
1552,570,2,48
1554,571,3,48
1557,572,4,48
1560,573,5,48
1563,574,6,48
1565,575,7,48
1568,576,8,48
1571,577,1,48
1574,578,2,48
1576,579,3,48
1579,580,4,48
1582,581,5,48
1585,582,6,48
1587,583,7,48
1590,584,8,48
1593,585,1,48
1596,586,2,48
1598,587,3,48
1601,588,4,48
1604,589,5,48
1607,590,6,48
1609,591,7,48
1612,592,8,48
1615,593,1,48
1618,594,2,48
1620,595,3,48
1623,596,4,48
1626,597,5,48
1629,598,6,48
1631,599,7,48
1634,600,8,48
1636,601,1,48
1639,602,2,48
1641,603,3,48
1644,604,4,48
1647,605,5,48
1650,606,6,48
1652,607,7,48
1655,608,8,48
1658,609,1,48
1661,610,2,48
1663,611,3,48
1666,612,4,48
1669,613,5,48
1672,614,6,48
1674,615,7,48
1677,616,8,48
1680,617,1,48
1683,618,2,48
1685,619,3,48
1688,620,4,48
1691,621,5,48
1694,622,6,48
1696,623,7,48
1699,624,8,48
1702,625,1,48
1705,626,2,48
1707,627,3,48
1710,628,4,48
1713,629,5,48
1716,630,6,48
1718,631,7,48
1721,632,8,48
1724,633,1,48
1727,634,2,48
1729,635,3,48
1732,636,4,48
1735,637,5,48
1738,638,6,48
1740,639,7,48
1743,640,8,48
1745,641,1,48
1748,642,2,48
1750,643,3,48
1753,644,4,48
1756,645,5,48
1759,646,6,48
1761,647,7,48
1764,648,8,48
1767,649,1,48
1770,650,2,48
1772,651,3,48
1775,652,4,48
1778,653,5,48
1781,654,6,48
1783,655,7,48
1786,656,8,48
1789,657,1,48
1792,658,2,48
1794,659,3,48
1797,660,4,48
1800,661,5,48
1803,662,6,48
1805,663,7,48
1808,664,8,48
1811,665,1,48
1814,666,2,48
1816,667,3,48
1819,668,4,48
1822,669,5,48
1825,670,6,48
1827,671,7,48
1830,672,8,48
1833,673,1,48
1836,674,2,48
1838,675,3,48
1841,676,4,48
1844,677,5,48
1847,678,6,48
1849,679,7,48
1852,680,8,48
1855,681,1,48
1858,682,2,48
1860,683,3,48
1863,684,4,48
1866,685,5,48
1869,686,6,48
1871,687,7,48
1874,688,8,48
1876,689,1,48
1879,690,2,48
1881,691,3,48
1884,692,4,48
1887,693,5,48
1890,694,6,48
1892,695,7,48
1895,696,8,48
1898,697,1,48
1901,698,2,48
1903,699,3,48
1906,700,4,48
1909,701,5,48
1912,702,6,48
1914,703,7,48
1917,704,8,48
1920,705,1,48
1923,706,2,48
1925,707,3,48
1928,708,4,48
1931,709,5,48
1934,710,6,48
1936,711,7,48
1939,712,8,48
1942,713,1,48
1945,714,2,48
1947,715,3,48
1950,716,4,48
1953,717,5,48
1956,718,6,48
1958,719,7,48
1961,720,8,48
1964,721,1,48
1967,722,2,48
1969,723,3,48
1972,724,4,48
1975,725,5,48
1978,726,6,48
1980,727,7,48
1983,728,8,48
1985,729,1,48
1988,730,2,48
1990,731,3,48
1993,732,4,48
1996,733,5,48
1999,734,6,48
2000,735,1,48
2003,736,2,48
2005,737,3,48
2008,738,4,48
2011,739,5,48
2014,740,6,48
2016,741,7,48
2019,742,8,48
2022,743,1,48
2025,744,2,48
2027,745,3,48
2030,746,4,48
2033,747,5,48
2036,748,6,48
2038,749,7,48
2041,750,8,48
2044,751,1,48
2047,752,2,48
2049,753,3,48
2052,754,4,48
2055,755,5,48
2058,756,6,48
2060,757,7,48
2063,758,8,48
2065,759,1,48
2068,760,2,48
2070,761,3,48
2073,762,4,48
2076,763,5,48
2079,764,6,48
2081,765,7,48
2084,766,8,48
2087,767,1,48
2090,768,2,48
2092,769,3,48
2095,770,4,48
2098,771,5,48
2101,772,6,48
2103,773,7,48
2106,774,8,48
2109,775,1,48
2112,776,2,48
2114,777,3,48
2117,778,4,48
2120,779,5,48
2123,780,6,48
2125,781,7,48
2128,782,8,48
2131,783,1,48
2134,784,2,48
2136,785,3,48
2139,786,4,48
2142,787,5,48
2145,788,6,48
2147,789,7,48
2150,790,8,48
