platform,vflows,configuration,resource,unit,value,source,rio_only,pifo_one,pifo_count,pifo_total,pifo_source,measurement_kind
vivado,128,static,dsp_blocks,blocks,0,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,replay,dsp_blocks,blocks,0,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,sum_of_synthesized_components
quartus,256,static,logic_alms,ALMs,293000,../runs/pe5-v256-c1024-q256-static-quartus/resource-summary.json,15260,55548,5,277740,../runs/pifo-house-v256-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,replay,logic_alms,ALMs,310919,../runs/pe5-v256-c1024-q256-replay-quartus/resource-summary.json,33179,55548,5,277740,../runs/pifo-house-v256-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,static,logic_aluts,ALUTs,450296,../runs/pe5-v256-c1024-q256-static-quartus/resource-summary.json,17186,86622,5,433110,../runs/pifo-house-v256-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,replay,logic_aluts,ALUTs,469432,../runs/pe5-v256-c1024-q256-replay-quartus/resource-summary.json,36322,86622,5,433110,../runs/pifo-house-v256-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,static,registers,bits,142705,../runs/pe5-v256-c1024-q256-static-quartus/resource-summary.json,4175,27706,5,138530,../runs/pifo-house-v256-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,replay,registers,bits,158210,../runs/pe5-v256-c1024-q256-replay-quartus/resource-summary.json,19680,27706,5,138530,../runs/pifo-house-v256-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,static,block_memory_bits,bits,49850384,../runs/pe5-v256-c1024-q256-static-quartus/resource-summary.json,49850384,0,5,0,../runs/pifo-house-v256-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,replay,block_memory_bits,bits,78696464,../runs/pe5-v256-c1024-q256-replay-quartus/resource-summary.json,78696464,0,5,0,../runs/pifo-house-v256-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,static,mlab_memory_bits,bits,0,../runs/pe5-v256-c1024-q256-static-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v256-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,replay,mlab_memory_bits,bits,0,../runs/pe5-v256-c1024-q256-replay-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v256-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,static,dsp_blocks,blocks,0,../runs/pe5-v256-c1024-q256-static-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v256-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,replay,dsp_blocks,blocks,0,../runs/pe5-v256-c1024-q256-replay-quartus/resource-summary.json,0,0,5,0,../runs/pifo-house-v256-c1024-quartus/resource-summary.json,sum_of_synthesized_components
vivado,256,static,logic_luts,LUTs,611476,../runs/pe5-v256-c1024-q256-static-vivado/resource-summary.json,30296,116236,5,581180,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,replay,logic_luts,LUTs,613506,../runs/pe5-v256-c1024-q256-replay-vivado/resource-summary.json,32326,116236,5,581180,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,static,registers,bits,157445,../runs/pe5-v256-c1024-q256-static-vivado/resource-summary.json,18700,27749,5,138745,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,replay,registers,bits,157590,../runs/pe5-v256-c1024-q256-replay-vivado/resource-summary.json,18845,27749,5,138745,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,static,bram36_tiles,tiles,2083.5,../runs/pe5-v256-c1024-q256-static-vivado/resource-summary.json,2083.5,0.0,5,0.0,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,replay,bram36_tiles,tiles,2883.5,../runs/pe5-v256-c1024-q256-replay-vivado/resource-summary.json,2883.5,0.0,5,0.0,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,static,uram288_blocks,blocks,0,../runs/pe5-v256-c1024-q256-static-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,replay,uram288_blocks,blocks,0,../runs/pe5-v256-c1024-q256-replay-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,static,bram_uram_allocated_bits,bits,76806144,../runs/pe5-v256-c1024-q256-static-vivado/resource-summary.json,76806144,0,5,0,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,replay,bram_uram_allocated_bits,bits,106297344,../runs/pe5-v256-c1024-q256-replay-vivado/resource-summary.json,106297344,0,5,0,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,static,lutram_luts,LUTs,908,../runs/pe5-v256-c1024-q256-static-vivado/resource-summary.json,908,0,5,0,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,replay,lutram_luts,LUTs,1108,../runs/pe5-v256-c1024-q256-replay-vivado/resource-summary.json,1108,0,5,0,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,static,dsp_blocks,blocks,0,../runs/pe5-v256-c1024-q256-static-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,replay,dsp_blocks,blocks,0,../runs/pe5-v256-c1024-q256-replay-vivado/resource-summary.json,0,0,5,0,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,sum_of_synthesized_components
quartus,512,static,logic_alms,ALMs,386215,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json,103640,56515,5,282575,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,replay,logic_alms,ALMs,425241,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json,142666,56515,5,282575,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,static,logic_aluts,ALUTs,564187,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json,92767,94284,5,471420,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,replay,logic_aluts,ALUTs,626406,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json,154986,94284,5,471420,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,static,registers,bits,234901,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json,86111,29758,5,148790,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,replay,registers,bits,291421,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json,142631,29758,5,148790,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
quartus,512,static,block_memory_bits,bits,209715776,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json,209715776,0,5,0,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,sum_of_synthesized_components
