request_id,flow_id,input_cycle,output_cycle,input_relative_to_start,output_relative_to_start
393,1,950,2283,349,1682
394,2,950,2918,349,2317
395,1,955,2291,354,1690
396,2,955,2921,354,2320
397,1,959,2294,358,1693
398,2,959,2929,358,2328
399,1,964,2302,363,1701
400,2,964,2932,363,2331
401,1,968,2305,367,1704
402,2,968,2940,367,2339
403,1,974,2313,373,1712
404,2,974,2943,373,2342
405,1,978,2316,377,1715
406,2,978,2951,377,2350
407,1,983,2324,382,1723
408,2,983,2954,382,2353
409,1,987,2327,386,1726
410,2,987,2962,386,2361
411,1,991,2335,390,1734
412,2,991,2965,390,2364
413,1,996,2338,395,1737
414,2,996,2973,395,2372
415,1,1001,2346,400,1745
416,2,1001,2976,400,2375
417,1,1006,2349,405,1748
418,2,1006,2984,405,2383
419,1,1011,2357,410,1756
420,2,1011,2987,410,2386
421,1,1015,2360,414,1759
422,2,1015,2995,414,2394
423,1,1019,2368,418,1767
424,2,1019,2998,418,2397
425,1,1024,2371,423,1770
426,2,1024,3006,423,2405
427,1,1029,2379,428,1778
428,2,1029,3009,428,2408
429,1,1033,2382,432,1781
430,2,1033,3017,432,2416
431,1,1038,2390,437,1789
432,2,1038,3020,437,2419
433,1,1043,2393,442,1792
434,2,1043,3028,442,2427
435,1,1048,2401,447,1800
436,2,1048,3031,447,2430
437,1,1054,2404,453,1803
438,2,1054,3039,453,2438
439,1,1058,2412,457,1811
440,2,1058,3042,457,2441
441,1,1062,2415,461,1814
442,2,1062,3050,461,2449
443,1,1068,2423,467,1822
444,2,1068,3053,467,2452
445,1,1072,2426,471,1825
446,2,1072,3061,471,2460
447,1,1076,2434,475,1833
448,2,1076,3064,475,2463
449,1,1081,2437,480,1836
450,2,1081,3072,480,2471
451,1,1086,2445,485,1844
452,2,1086,3075,485,2474
453,1,1090,2448,489,1847
454,2,1090,3083,489,2482
455,1,1096,2456,495,1855
456,2,1096,3086,495,2485
457,1,1101,2459,500,1858
458,2,1101,3094,500,2493
459,1,1106,2467,505,1866
460,2,1106,3097,505,2496
461,1,1110,2470,509,1869
462,2,1110,3105,509,2504
463,1,1115,2478,514,1877
464,2,1115,3108,514,2507
465,1,1119,2481,518,1880
466,2,1119,3116,518,2515
467,1,1124,2489,523,1888
468,2,1124,3119,523,2518
469,1,1128,2492,527,1891
470,2,1128,3127,527,2526
471,1,1133,2500,532,1899
472,2,1133,3130,532,2529
473,1,1138,2503,537,1902
474,2,1138,3138,537,2537
475,1,1143,2511,542,1910
476,2,1143,3141,542,2540
477,1,1148,2514,547,1913
478,2,1148,3149,547,2548
479,1,1153,2522,552,1921
480,2,1153,3152,552,2551
