cycle,phase,command,engine_id,vpifo_id,flow_id,data,copied_entries
2153,accepted,UpdateBrainEngine,2,15,0,4,
2153,dispatched,UpdateRankQuantum,2,14,28,120,
2154,accepted,UpdateRankGroup,1,1,29,15,
2154,dispatched,UpdateRankQuantum,1,1,15,120,
2155,accepted,UpdateBrainEngine,3,29,0,3,
2155,dispatched,UpdateBrainEngine,2,15,0,4,
2156,accepted,UpdateRankGroup,2,15,29,29,
2156,dispatched,UpdateRankGroup,1,1,29,15,
2157,accepted,UpdateRankQuantum,2,15,29,120,
2157,dispatched,UpdateBrainEngine,3,29,0,3,
2158,accepted,UpdateRankGroup,1,1,30,15,
2158,dispatched,UpdateRankGroup,2,15,29,29,
2159,accepted,UpdateBrainEngine,3,30,0,3,
2159,dispatched,UpdateRankQuantum,2,15,29,120,
2160,accepted,UpdateRankGroup,2,15,30,30,
2160,dispatched,UpdateRankGroup,1,1,30,15,
2161,accepted,UpdateRankQuantum,2,15,30,60,
2161,dispatched,UpdateBrainEngine,3,30,0,3,
2162,accepted,UpdateRankQuantum,1,1,16,120,
2162,dispatched,UpdateRankGroup,2,15,30,30,
2163,accepted,UpdateBrainEngine,2,16,0,2,
2163,dispatched,UpdateRankQuantum,2,15,30,60,
2164,accepted,UpdateRankGroup,1,1,31,16,
2164,dispatched,UpdateRankQuantum,1,1,16,120,
2165,accepted,UpdateBrainEngine,3,31,0,3,
2165,dispatched,UpdateBrainEngine,2,16,0,2,
2166,accepted,UpdateBrainFlowState,2,16,287,1,
2166,dispatched,UpdateRankGroup,1,1,31,16,
2167,accepted,UpdateRankGroup,1,1,32,16,
2167,dispatched,UpdateBrainEngine,3,31,0,3,
2168,accepted,UpdateBrainEngine,3,32,0,3,
2168,dispatched,UpdateBrainFlowState,2,16,287,1,
2169,accepted,UpdateBrainFlowState,2,16,288,2,
2169,dispatched,UpdateRankGroup,1,1,32,16,
2170,accepted,UpdateRankQuantum,1,1,17,120,
2170,dispatched,UpdateBrainEngine,3,32,0,3,
2171,accepted,UpdateBrainEngine,2,17,0,4,
2171,dispatched,UpdateBrainFlowState,2,16,288,2,
2172,accepted,UpdateRankGroup,1,1,33,17,
2172,dispatched,UpdateRankQuantum,1,1,17,120,
2173,accepted,UpdateBrainEngine,3,33,0,3,
2173,dispatched,UpdateBrainEngine,2,17,0,4,
2174,accepted,UpdateRankGroup,2,17,33,33,
2174,dispatched,UpdateRankGroup,1,1,33,17,
2175,accepted,UpdateRankQuantum,2,17,33,120,
2175,dispatched,UpdateBrainEngine,3,33,0,3,
2176,accepted,UpdateRankGroup,1,1,34,17,
2176,dispatched,UpdateRankGroup,2,17,33,33,
2177,accepted,UpdateBrainEngine,3,34,0,3,
2177,dispatched,UpdateRankQuantum,2,17,33,120,
2178,accepted,UpdateRankGroup,2,17,34,34,
2178,dispatched,UpdateRankGroup,1,1,34,17,
2179,accepted,UpdateRankQuantum,2,17,34,120,
2179,dispatched,UpdateBrainEngine,3,34,0,3,
2180,accepted,UpdateRankQuantum,1,1,18,120,
2180,dispatched,UpdateRankGroup,2,17,34,34,
2181,accepted,UpdateBrainEngine,2,18,0,4,
2181,dispatched,UpdateRankQuantum,2,17,34,120,
2182,accepted,UpdateRankGroup,1,1,35,18,
2182,dispatched,UpdateRankQuantum,1,1,18,120,
2183,accepted,UpdateBrainEngine,3,35,0,3,
2183,dispatched,UpdateBrainEngine,2,18,0,4,
2184,accepted,UpdateRankGroup,2,18,35,35,
2184,dispatched,UpdateRankGroup,1,1,35,18,
2185,accepted,UpdateRankQuantum,2,18,35,120,
2185,dispatched,UpdateBrainEngine,3,35,0,3,
2186,accepted,UpdateRankGroup,1,1,36,18,
2186,dispatched,UpdateRankGroup,2,18,35,35,
2187,accepted,UpdateBrainEngine,3,36,0,3,
2187,dispatched,UpdateRankQuantum,2,18,35,120,
2188,accepted,UpdateRankGroup,2,18,36,36,
2188,dispatched,UpdateRankGroup,1,1,36,18,
2189,accepted,UpdateRankQuantum,2,18,36,60,
2189,dispatched,UpdateBrainEngine,3,36,0,3,
2190,accepted,UpdateRankQuantum,1,1,19,120,
2190,dispatched,UpdateRankGroup,2,18,36,36,
2191,accepted,UpdateBrainEngine,2,19,0,2,
2191,dispatched,UpdateRankQuantum,2,18,36,60,
2192,accepted,UpdateRankGroup,1,1,37,19,
2192,dispatched,UpdateRankQuantum,1,1,19,120,
2193,accepted,UpdateBrainEngine,3,37,0,3,
2193,dispatched,UpdateBrainEngine,2,19,0,2,
2194,accepted,UpdateBrainFlowState,2,19,293,1,
2194,dispatched,UpdateRankGroup,1,1,37,19,
2195,accepted,UpdateRankGroup,1,1,38,19,
2195,dispatched,UpdateBrainEngine,3,37,0,3,
2196,accepted,UpdateBrainEngine,3,38,0,3,
2196,dispatched,UpdateBrainFlowState,2,19,293,1,
2197,accepted,UpdateBrainFlowState,2,19,294,2,
2197,dispatched,UpdateRankGroup,1,1,38,19,
2198,accepted,UpdateRankQuantum,1,1,20,120,
2198,dispatched,UpdateBrainEngine,3,38,0,3,
2199,accepted,UpdateBrainEngine,2,20,0,4,
2199,dispatched,UpdateBrainFlowState,2,19,294,2,
2200,accepted,UpdateRankGroup,1,1,39,20,
2200,dispatched,UpdateRankQuantum,1,1,20,120,
2201,accepted,UpdateBrainEngine,3,39,0,3,
2201,dispatched,UpdateBrainEngine,2,20,0,4,
2202,accepted,UpdateRankGroup,2,20,39,39,
2202,dispatched,UpdateRankGroup,1,1,39,20,
2203,accepted,UpdateRankQuantum,2,20,39,120,
2203,dispatched,UpdateBrainEngine,3,39,0,3,
2204,accepted,UpdateRankGroup,1,1,40,20,
2204,dispatched,UpdateRankGroup,2,20,39,39,
2205,accepted,UpdateBrainEngine,3,40,0,3,
2205,dispatched,UpdateRankQuantum,2,20,39,120,
2206,accepted,UpdateRankGroup,2,20,40,40,
2206,dispatched,UpdateRankGroup,1,1,40,20,
2207,accepted,UpdateRankQuantum,2,20,40,120,
2207,dispatched,UpdateBrainEngine,3,40,0,3,
2208,accepted,UpdateRankQuantum,1,1,21,120,
2208,dispatched,UpdateRankGroup,2,20,40,40,
2209,accepted,UpdateBrainEngine,2,21,0,4,
2209,dispatched,UpdateRankQuantum,2,20,40,120,
2210,accepted,UpdateRankGroup,1,1,41,21,
2210,dispatched,UpdateRankQuantum,1,1,21,120,
2211,accepted,UpdateBrainEngine,3,41,0,3,
2211,dispatched,UpdateBrainEngine,2,21,0,4,
2212,accepted,UpdateRankGroup,2,21,41,41,
2212,dispatched,UpdateRankGroup,1,1,41,21,
2213,accepted,UpdateRankQuantum,2,21,41,120,
2213,dispatched,UpdateBrainEngine,3,41,0,3,
2214,accepted,UpdateRankGroup,1,1,42,21,
2214,dispatched,UpdateRankGroup,2,21,41,41,
2215,accepted,UpdateBrainEngine,3,42,0,3,
2215,dispatched,UpdateRankQuantum,2,21,41,120,
2216,accepted,UpdateRankGroup,2,21,42,42,
2216,dispatched,UpdateRankGroup,1,1,42,21,
2217,accepted,UpdateRankQuantum,2,21,42,60,
2217,dispatched,UpdateBrainEngine,3,42,0,3,
2218,accepted,UpdateRankQuantum,1,1,22,120,
2218,dispatched,UpdateRankGroup,2,21,42,42,
2219,accepted,UpdateBrainEngine,2,22,0,2,
2219,dispatched,UpdateRankQuantum,2,21,42,60,
2220,accepted,UpdateRankGroup,1,1,43,22,
2220,dispatched,UpdateRankQuantum,1,1,22,120,
2221,accepted,UpdateBrainEngine,3,43,0,3,
2221,dispatched,UpdateBrainEngine,2,22,0,2,
2222,accepted,UpdateBrainFlowState,2,22,299,1,
2222,dispatched,UpdateRankGroup,1,1,43,22,
2223,accepted,UpdateRankGroup,1,1,44,22,
2223,dispatched,UpdateBrainEngine,3,43,0,3,
2224,accepted,UpdateBrainEngine,3,44,0,3,
2224,dispatched,UpdateBrainFlowState,2,22,299,1,
2225,accepted,UpdateBrainFlowState,2,22,300,2,
2225,dispatched,UpdateRankGroup,1,1,44,22,
2226,accepted,UpdateRankQuantum,1,1,23,120,
2226,dispatched,UpdateBrainEngine,3,44,0,3,
2227,accepted,UpdateBrainEngine,2,23,0,4,
2227,dispatched,UpdateBrainFlowState,2,22,300,2,
2228,accepted,UpdateRankGroup,1,1,45,23,
2228,dispatched,UpdateRankQuantum,1,1,23,120,
2229,accepted,UpdateBrainEngine,3,45,0,3,
2229,dispatched,UpdateBrainEngine,2,23,0,4,
2230,accepted,UpdateRankGroup,2,23,45,45,
2230,dispatched,UpdateRankGroup,1,1,45,23,
2231,accepted,UpdateRankQuantum,2,23,45,120,
2231,dispatched,UpdateBrainEngine,3,45,0,3,
2232,accepted,UpdateRankGroup,1,1,46,23,
2232,dispatched,UpdateRankGroup,2,23,45,45,
2233,accepted,UpdateBrainEngine,3,46,0,3,
2233,dispatched,UpdateRankQuantum,2,23,45,120,
2234,accepted,UpdateRankGroup,2,23,46,46,
2234,dispatched,UpdateRankGroup,1,1,46,23,
2235,accepted,UpdateRankQuantum,2,23,46,120,
2235,dispatched,UpdateBrainEngine,3,46,0,3,
2236,accepted,UpdateRankQuantum,1,1,24,120,
2236,dispatched,UpdateRankGroup,2,23,46,46,
2237,accepted,UpdateBrainEngine,2,24,0,4,
2237,dispatched,UpdateRankQuantum,2,23,46,120,
2238,accepted,UpdateRankGroup,1,1,47,24,
2238,dispatched,UpdateRankQuantum,1,1,24,120,
2239,accepted,UpdateBrainEngine,3,47,0,3,
2239,dispatched,UpdateBrainEngine,2,24,0,4,
2240,accepted,UpdateRankGroup,2,24,47,47,
2240,dispatched,UpdateRankGroup,1,1,47,24,
2241,accepted,UpdateRankQuantum,2,24,47,120,
2241,dispatched,UpdateBrainEngine,3,47,0,3,
2242,accepted,UpdateRankGroup,1,1,48,24,
2242,dispatched,UpdateRankGroup,2,24,47,47,
2243,accepted,UpdateBrainEngine,3,48,0,3,
2243,dispatched,UpdateRankQuantum,2,24,47,120,
2244,accepted,UpdateRankGroup,2,24,48,48,
2244,dispatched,UpdateRankGroup,1,1,48,24,
2245,accepted,UpdateRankQuantum,2,24,48,60,
2245,dispatched,UpdateBrainEngine,3,48,0,3,
2246,accepted,UpdateRankQuantum,1,1,25,120,
2246,dispatched,UpdateRankGroup,2,24,48,48,
2247,accepted,UpdateBrainEngine,2,25,0,2,
2247,dispatched,UpdateRankQuantum,2,24,48,60,
2248,accepted,UpdateRankGroup,1,1,49,25,
2248,dispatched,UpdateRankQuantum,1,1,25,120,
2249,accepted,UpdateBrainEngine,3,49,0,3,
2249,dispatched,UpdateBrainEngine,2,25,0,2,
2250,accepted,UpdateBrainFlowState,2,25,305,1,
2250,dispatched,UpdateRankGroup,1,1,49,25,
2251,accepted,UpdateRankGroup,1,1,50,25,
2251,dispatched,UpdateBrainEngine,3,49,0,3,
2252,accepted,UpdateBrainEngine,3,50,0,3,
2252,dispatched,UpdateBrainFlowState,2,25,305,1,
2253,accepted,UpdateBrainFlowState,2,25,306,2,
2253,dispatched,UpdateRankGroup,1,1,50,25,
2254,accepted,UpdateRankQuantum,1,1,26,120,
2254,dispatched,UpdateBrainEngine,3,50,0,3,
2255,accepted,UpdateBrainEngine,2,26,0,4,
2255,dispatched,UpdateBrainFlowState,2,25,306,2,
2256,accepted,UpdateRankGroup,1,1,51,26,
2256,dispatched,UpdateRankQuantum,1,1,26,120,
2257,accepted,UpdateBrainEngine,3,51,0,3,
2257,dispatched,UpdateBrainEngine,2,26,0,4,
2258,accepted,UpdateRankGroup,2,26,51,51,
2258,dispatched,UpdateRankGroup,1,1,51,26,
2259,accepted,UpdateRankQuantum,2,26,51,120,
2259,dispatched,UpdateBrainEngine,3,51,0,3,
2260,accepted,UpdateRankGroup,1,1,52,26,
2260,dispatched,UpdateRankGroup,2,26,51,51,
2261,accepted,UpdateBrainEngine,3,52,0,3,
2261,dispatched,UpdateRankQuantum,2,26,51,120,
2262,accepted,UpdateRankGroup,2,26,52,52,
2262,dispatched,UpdateRankGroup,1,1,52,26,
2263,accepted,UpdateRankQuantum,2,26,52,120,
2263,dispatched,UpdateBrainEngine,3,52,0,3,
2264,accepted,UpdateRankQuantum,1,1,27,120,
2264,dispatched,UpdateRankGroup,2,26,52,52,
2265,accepted,UpdateBrainEngine,2,27,0,4,
2265,dispatched,UpdateRankQuantum,2,26,52,120,
2266,accepted,UpdateRankGroup,1,1,53,27,
2266,dispatched,UpdateRankQuantum,1,1,27,120,
2267,accepted,UpdateBrainEngine,3,53,0,3,
2267,dispatched,UpdateBrainEngine,2,27,0,4,
2268,accepted,UpdateRankGroup,2,27,53,53,
2268,dispatched,UpdateRankGroup,1,1,53,27,
2269,accepted,UpdateRankQuantum,2,27,53,120,
2269,dispatched,UpdateBrainEngine,3,53,0,3,
2270,accepted,UpdateRankGroup,1,1,54,27,
2270,dispatched,UpdateRankGroup,2,27,53,53,
2271,accepted,UpdateBrainEngine,3,54,0,3,
2271,dispatched,UpdateRankQuantum,2,27,53,120,
2272,accepted,UpdateRankGroup,2,27,54,54,
2272,dispatched,UpdateRankGroup,1,1,54,27,
2273,accepted,UpdateRankQuantum,2,27,54,60,
2273,dispatched,UpdateBrainEngine,3,54,0,3,
2274,accepted,UpdateRankQuantum,1,1,28,120,
2274,dispatched,UpdateRankGroup,2,27,54,54,
2275,accepted,UpdateBrainEngine,2,28,0,2,
2275,dispatched,UpdateRankQuantum,2,27,54,60,
2276,accepted,UpdateRankGroup,1,1,55,28,
2276,dispatched,UpdateRankQuantum,1,1,28,120,
