window_start_cycle,window_end_cycle,time_relative_to_start,total_bytes_per_cycle,total_link_fraction,flow_1_bytes_per_cycle,flow_2_bytes_per_cycle,flow_3_bytes_per_cycle,flow_1_link_fraction,flow_2_link_fraction,flow_3_link_fraction
3753,3993,1872,16.0000077128,1.00000048205,7.99996913296,5.33289336543,2.66714521437,0.49999807081,0.333305835339,0.166696575898
3765,4005,1884,16.0000077128,1.00000048205,7.99996913296,5.33370808423,2.66633049557,0.49999807081,0.333356755265,0.166645655973
3777,4017,1896,16.0000077128,1.00000048205,7.99996913296,5.33347570994,2.66656286986,0.49999807081,0.333342231871,0.166660179366
3789,4029,1908,16.0000077128,1.00000048205,7.99996913296,5.33289336543,2.66714521437,0.49999807081,0.333305835339,0.166696575898
3801,4041,1920,16.0000077128,1.00000048205,7.99996913296,5.33370808423,2.66633049557,0.49999807081,0.333356755265,0.166645655973
3813,4053,1932,16.0000077128,1.00000048205,7.99996913296,5.33347570994,2.66656286986,0.49999807081,0.333342231871,0.166660179366
3825,4065,1944,16.0000077128,1.00000048205,7.99996913296,5.33289336543,2.66714521437,0.49999807081,0.333305835339,0.166696575898
3837,4077,1956,16.0000077128,1.00000048205,7.99996913296,5.33370808423,2.66633049557,0.49999807081,0.333356755265,0.166645655973
3849,4089,1968,16.0000077128,1.00000048205,7.99996913296,5.33347570994,2.66656286986,0.49999807081,0.333342231871,0.166660179366
3861,4101,1980,16.0000077128,1.00000048205,7.99996913296,5.33289336543,2.66714521437,0.49999807081,0.333305835339,0.166696575898
3873,4113,1992,16.0000077128,1.00000048205,7.99996913296,5.33370808423,2.66633049557,0.49999807081,0.333356755265,0.166645655973
3885,4125,2004,16.0000077128,1.00000048205,7.99996913296,5.33347570994,2.66656286986,0.49999807081,0.333342231871,0.166660179366
3897,4137,2016,16.0000077128,1.00000048205,7.99996913296,5.33289336543,2.66714521437,0.49999807081,0.333305835339,0.166696575898
3909,4149,2028,16.0000077128,1.00000048205,7.99996913296,5.33370808423,2.66633049557,0.49999807081,0.333356755265,0.166645655973
3921,4161,2040,16.0000077128,1.00000048205,7.99996913296,5.33347570994,2.66656286986,0.49999807081,0.333342231871,0.166660179366
3933,4173,2052,16.0000077128,1.00000048205,7.99996913296,5.33289336543,2.66714521437,0.49999807081,0.333305835339,0.166696575898
3945,4185,2064,16.0000077128,1.00000048205,7.99996913296,5.33370808423,2.66633049557,0.49999807081,0.333356755265,0.166645655973
3957,4197,2076,16.0000077128,1.00000048205,7.99996913296,5.33347570994,2.66656286986,0.49999807081,0.333342231871,0.166660179366
3969,4209,2088,16.0000077128,1.00000048205,7.99996913296,5.33289336543,2.66714521437,0.49999807081,0.333305835339,0.166696575898
3981,4221,2100,16.0000077128,1.00000048205,7.99996913296,5.33370808423,2.66633049557,0.49999807081,0.333356755265,0.166645655973
3993,4233,2112,16.0000077128,1.00000048205,7.99996913296,5.33347570994,2.66656286986,0.49999807081,0.333342231871,0.166660179366
4005,4245,2124,16.0000077128,1.00000048205,7.99996913296,5.33289336543,2.66714521437,0.49999807081,0.333305835339,0.166696575898
4017,4257,2136,16.0000077128,1.00000048205,7.99996913296,5.33370808423,2.66633049557,0.49999807081,0.333356755265,0.166645655973
4029,4269,2148,16.0000077128,1.00000048205,7.99996913296,5.33347570994,2.66656286986,0.49999807081,0.333342231871,0.166660179366
4041,4281,2160,16.0000077128,1.00000048205,7.99996913296,5.33289336543,2.66714521437,0.49999807081,0.333305835339,0.166696575898
4053,4293,2172,16.0000077128,1.00000048205,7.99996913296,5.33370808423,2.66633049557,0.49999807081,0.333356755265,0.166645655973
4065,4305,2184,16.0000077128,1.00000048205,7.99996913296,5.33347570994,2.66656286986,0.49999807081,0.333342231871,0.166660179366
4077,4317,2196,16.0000077128,1.00000048205,7.99996913296,5.33289336543,2.66714521437,0.49999807081,0.333305835339,0.166696575898
4089,4329,2208,16.0000077128,1.00000048205,7.99996913296,5.33370808423,2.66633049557,0.49999807081,0.333356755265,0.166645655973
4101,4341,2220,16.0000077128,1.00000048205,7.99996913296,5.33347570994,2.66656286986,0.49999807081,0.333342231871,0.166660179366
4113,4353,2232,16.0000077128,1.00000048205,7.99996913296,5.33289336543,2.66714521437,0.49999807081,0.333305835339,0.166696575898
4125,4365,2244,16.0000077128,1.00000048205,7.99996913296,5.33370808423,2.66633049557,0.49999807081,0.333356755265,0.166645655973
4137,4377,2256,16.0000077128,1.00000048205,7.99996913296,5.33347570994,2.66656286986,0.49999807081,0.333342231871,0.166660179366
4149,4389,2268,16.0000077128,1.00000048205,7.99996913296,5.33289336543,2.66714521437,0.49999807081,0.333305835339,0.166696575898
4161,4401,2280,16.0000077128,1.00000048205,7.99996913296,5.33370808423,2.66633049557,0.49999807081,0.333356755265,0.166645655973
4173,4413,2292,16.0000077128,1.00000048205,7.99996913296,5.33347570994,2.66656286986,0.49999807081,0.333342231871,0.166660179366
4185,4425,2304,16.0000077128,1.00000048205,7.99996913296,5.33289336543,2.66714521437,0.49999807081,0.333305835339,0.166696575898
4197,4437,2316,16.0000077128,1.00000048205,7.99996913296,5.33370808423,2.66633049557,0.49999807081,0.333356755265,0.166645655973
4209,4449,2328,16.0000077128,1.00000048205,7.99996913296,5.33347570994,2.66656286986,0.49999807081,0.333342231871,0.166660179366
4221,4461,2340,16.0000077128,1.00000048205,7.99996913296,5.33289336543,2.66714521437,0.49999807081,0.333305835339,0.166696575898
4233,4473,2352,16.0000077128,1.00000048205,7.99996913296,5.33370808423,2.66633049557,0.49999807081,0.333356755265,0.166645655973
4245,4485,2364,16.0000077128,1.00000048205,7.99996913296,5.33347570994,2.66656286986,0.49999807081,0.333342231871,0.166660179366
4257,4497,2376,16.0000077128,1.00000048205,7.99996913296,5.33289336543,2.66714521437,0.49999807081,0.333305835339,0.166696575898
4269,4509,2388,16.0000077128,1.00000048205,7.99996913296,5.33370808423,2.66633049557,0.49999807081,0.333356755265,0.166645655973
4281,4521,2400,16.0000077128,1.00000048205,7.99996913296,5.33347570994,2.66656286986,0.49999807081,0.333342231871,0.166660179366
4293,4533,2412,16.0000077128,1.00000048205,7.99996913296,5.33289336543,2.66714521437,0.49999807081,0.333305835339,0.166696575898
4305,4545,2424,16.0000077128,1.00000048205,7.99996913296,5.33370808423,2.66633049557,0.49999807081,0.333356755265,0.166645655973
4317,4557,2436,16.0000077128,1.00000048205,7.99996913296,5.33347570994,2.66656286986,0.49999807081,0.333342231871,0.166660179366
4329,4569,2448,16.0000077128,1.00000048205,7.99996913296,5.33289336543,2.66714521437,0.49999807081,0.333305835339,0.166696575898
4341,4581,2460,16.0000077128,1.00000048205,7.99996913296,5.33370808423,2.66633049557,0.49999807081,0.333356755265,0.166645655973
4353,4593,2472,16.0000077128,1.00000048205,7.99996913296,5.33347570994,2.66656286986,0.49999807081,0.333342231871,0.166660179366
4365,4605,2484,16.0000077128,1.00000048205,7.99996913296,5.33289336543,2.66714521437,0.49999807081,0.333305835339,0.166696575898
4377,4617,2496,16.0000077128,1.00000048205,7.99996913296,5.33370808423,2.66633049557,0.49999807081,0.333356755265,0.166645655973
