window_start_cycle,window_end_cycle,time_relative_to_start,total_bytes_per_cycle,total_link_fraction,flow_1_bytes_per_cycle,flow_2_bytes_per_cycle,flow_3_bytes_per_cycle,flow_1_link_fraction,flow_2_link_fraction,flow_3_link_fraction
933,1173,-948,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
945,1185,-936,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
957,1197,-924,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
969,1209,-912,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
981,1221,-900,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
993,1233,-888,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
1005,1245,-876,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
1017,1257,-864,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
1029,1269,-852,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
1041,1281,-840,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
1053,1293,-828,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
1065,1305,-816,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
1077,1317,-804,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
1089,1329,-792,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
1101,1341,-780,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
1113,1353,-768,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
1125,1365,-756,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
1137,1377,-744,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
1149,1389,-732,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
1161,1401,-720,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
1173,1413,-708,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
1185,1425,-696,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
1197,1437,-684,14.4000330787,0.900002067417,6.39999349009,8.00003958858,0,0.39999959313,0.500002474286,0
1209,1449,-672,14.3999762929,0.899998518308,6.40002086894,7.99995542399,0,0.400001304309,0.499997214,0
1221,1461,-660,14.4000186337,0.900001164606,6.40014831289,7.99987032081,0,0.400009269555,0.49999189505,0
1233,1473,-648,14.4000188473,0.900001177956,6.3998111654,8.0002076819,0,0.399988197837,0.500012980119,0
1245,1485,-636,14.3999763017,0.899998518855,6.40013418933,7.99984211236,0,0.400008386833,0.499990132022,0
