schema=pifo-transactions-v1 rootEngine=1 rootVPifoId=1 numEngines=7 numVPifos=128 maxPacketPriority=16777216 fifoDepth=4 prefetchBufferDepth=16
at=init name=initial mode=direct command=UpdateMapperPost engineId=3 vPifoId=10 flowId=394 data=10
at=init name=initial mode=direct command=UpdateMapperPre engineId=1 vPifoId=11 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=1 vPifoId=1 flowId=139 data=262
at=init name=initial mode=direct command=UpdateMapperPre engineId=2 vPifoId=11 flowId=0 data=6
at=init name=initial mode=direct command=UpdateMapperPost engineId=2 vPifoId=6 flowId=267 data=395
at=init name=initial mode=direct command=UpdateMapperPre engineId=3 vPifoId=11 flowId=0 data=11
at=init name=initial mode=direct command=UpdateMapperPost engineId=3 vPifoId=11 flowId=395 data=11
at=init name=initial mode=direct command=UpdateMapperPre engineId=1 vPifoId=12 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=1 vPifoId=1 flowId=140 data=262
at=init name=initial mode=direct command=UpdateMapperPre engineId=2 vPifoId=12 flowId=0 data=6
at=init name=initial mode=direct command=UpdateMapperPost engineId=2 vPifoId=6 flowId=268 data=396
at=init name=initial mode=direct command=UpdateMapperPre engineId=3 vPifoId=12 flowId=0 data=12
at=init name=initial mode=direct command=UpdateMapperPost engineId=3 vPifoId=12 flowId=396 data=12
at=init name=initial mode=direct command=UpdateMapperPre engineId=1 vPifoId=13 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=1 vPifoId=1 flowId=141 data=263
at=init name=initial mode=direct command=UpdateMapperPre engineId=2 vPifoId=13 flowId=0 data=7
at=init name=initial mode=direct command=UpdateMapperPost engineId=2 vPifoId=7 flowId=269 data=397
at=init name=initial mode=direct command=UpdateMapperPre engineId=3 vPifoId=13 flowId=0 data=13
at=init name=initial mode=direct command=UpdateMapperPost engineId=3 vPifoId=13 flowId=397 data=13
at=init name=initial mode=direct command=UpdateMapperPre engineId=1 vPifoId=14 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=1 vPifoId=1 flowId=142 data=263
at=init name=initial mode=direct command=UpdateMapperPre engineId=2 vPifoId=14 flowId=0 data=7
at=init name=initial mode=direct command=UpdateMapperPost engineId=2 vPifoId=7 flowId=270 data=398
at=init name=initial mode=direct command=UpdateMapperPre engineId=3 vPifoId=14 flowId=0 data=14
at=init name=initial mode=direct command=UpdateMapperPost engineId=3 vPifoId=14 flowId=398 data=14
at=init name=initial mode=direct command=UpdateMapperPre engineId=1 vPifoId=15 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=1 vPifoId=1 flowId=143 data=264
at=init name=initial mode=direct command=UpdateMapperPre engineId=2 vPifoId=15 flowId=0 data=8
at=init name=initial mode=direct command=UpdateMapperPost engineId=2 vPifoId=8 flowId=271 data=399
at=init name=initial mode=direct command=UpdateMapperPre engineId=3 vPifoId=15 flowId=0 data=15
at=init name=initial mode=direct command=UpdateMapperPost engineId=3 vPifoId=15 flowId=399 data=15
at=init name=initial mode=direct command=UpdateMapperPre engineId=1 vPifoId=16 flowId=0 data=1
at=init name=initial mode=direct command=UpdateMapperPost engineId=1 vPifoId=1 flowId=144 data=264
at=init name=initial mode=direct command=UpdateMapperPre engineId=2 vPifoId=16 flowId=0 data=8
at=init name=initial mode=direct command=UpdateMapperPost engineId=2 vPifoId=8 flowId=272 data=400
at=init name=initial mode=direct command=UpdateMapperPre engineId=3 vPifoId=16 flowId=0 data=16
at=init name=initial mode=direct command=UpdateMapperPost engineId=3 vPifoId=16 flowId=400 data=16
at=init name=initial mode=direct command=CommitMapper engineId=1 vPifoId=0 flowId=0 data=0
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=StopWorld engineId=1 vPifoId=1 flowId=0 data=0
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=4 vPifoId=1 flowId=0 data=4
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankQuantum engineId=4 vPifoId=1 flowId=1 data=60
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=5 vPifoId=1 flowId=0 data=2
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=4 vPifoId=1 flowId=1 data=1
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=6 vPifoId=1 flowId=0 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainFlowState engineId=5 vPifoId=1 flowId=641 data=1
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=4 vPifoId=1 flowId=2 data=1
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=6 vPifoId=2 flowId=0 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainFlowState engineId=5 vPifoId=1 flowId=642 data=2
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankQuantum engineId=4 vPifoId=1 flowId=2 data=120
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=5 vPifoId=2 flowId=0 data=4
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=4 vPifoId=1 flowId=3 data=2
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=6 vPifoId=3 flowId=0 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=5 vPifoId=2 flowId=3 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankQuantum engineId=5 vPifoId=2 flowId=3 data=120
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=4 vPifoId=1 flowId=4 data=2
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=6 vPifoId=4 flowId=0 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=5 vPifoId=2 flowId=4 data=4
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankQuantum engineId=5 vPifoId=2 flowId=4 data=120
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankQuantum engineId=4 vPifoId=1 flowId=3 data=120
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=5 vPifoId=3 flowId=0 data=4
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=4 vPifoId=1 flowId=5 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=6 vPifoId=5 flowId=0 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=5 vPifoId=3 flowId=5 data=5
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankQuantum engineId=5 vPifoId=3 flowId=5 data=120
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=4 vPifoId=1 flowId=6 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=6 vPifoId=6 flowId=0 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=5 vPifoId=3 flowId=6 data=6
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankQuantum engineId=5 vPifoId=3 flowId=6 data=60
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankQuantum engineId=4 vPifoId=1 flowId=4 data=120
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=5 vPifoId=4 flowId=0 data=2
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=4 vPifoId=1 flowId=7 data=4
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=6 vPifoId=7 flowId=0 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainFlowState engineId=5 vPifoId=4 flowId=647 data=1
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=4 vPifoId=1 flowId=8 data=4
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=6 vPifoId=8 flowId=0 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainFlowState engineId=5 vPifoId=4 flowId=648 data=2
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankQuantum engineId=4 vPifoId=1 flowId=5 data=120
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=5 vPifoId=5 flowId=0 data=4
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=4 vPifoId=1 flowId=9 data=5
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=6 vPifoId=9 flowId=0 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=5 vPifoId=5 flowId=9 data=9
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankQuantum engineId=5 vPifoId=5 flowId=9 data=120
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=4 vPifoId=1 flowId=10 data=5
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=6 vPifoId=10 flowId=0 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=5 vPifoId=5 flowId=10 data=10
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankQuantum engineId=5 vPifoId=5 flowId=10 data=120
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankQuantum engineId=4 vPifoId=1 flowId=6 data=120
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=5 vPifoId=6 flowId=0 data=4
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=4 vPifoId=1 flowId=11 data=6
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=6 vPifoId=11 flowId=0 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=5 vPifoId=6 flowId=11 data=11
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankQuantum engineId=5 vPifoId=6 flowId=11 data=120
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=4 vPifoId=1 flowId=12 data=6
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=6 vPifoId=12 flowId=0 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=5 vPifoId=6 flowId=12 data=12
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankQuantum engineId=5 vPifoId=6 flowId=12 data=60
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankQuantum engineId=4 vPifoId=1 flowId=7 data=120
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=5 vPifoId=7 flowId=0 data=2
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=4 vPifoId=1 flowId=13 data=7
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=6 vPifoId=13 flowId=0 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainFlowState engineId=5 vPifoId=7 flowId=653 data=1
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=4 vPifoId=1 flowId=14 data=7
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=6 vPifoId=14 flowId=0 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainFlowState engineId=5 vPifoId=7 flowId=654 data=2
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankQuantum engineId=4 vPifoId=1 flowId=8 data=120
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=5 vPifoId=8 flowId=0 data=4
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=4 vPifoId=1 flowId=15 data=8
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=6 vPifoId=15 flowId=0 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=5 vPifoId=8 flowId=15 data=15
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankQuantum engineId=5 vPifoId=8 flowId=15 data=120
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=4 vPifoId=1 flowId=16 data=8
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=6 vPifoId=16 flowId=0 data=3
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankGroup engineId=5 vPifoId=8 flowId=16 data=16
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateRankQuantum engineId=5 vPifoId=8 flowId=16 data=120
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainEngine engineId=7 vPifoId=1 flowId=0 data=2
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainFlowState engineId=7 vPifoId=1 flowId=897 data=2
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainFlowState engineId=7 vPifoId=1 flowId=898 data=2
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainFlowState engineId=7 vPifoId=1 flowId=899 data=2
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainFlowState engineId=7 vPifoId=1 flowId=900 data=2
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainFlowState engineId=7 vPifoId=1 flowId=901 data=2
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainFlowState engineId=7 vPifoId=1 flowId=902 data=2
at=2000 name=request mode=stop_the_world_pop drainRoot=1:1 command=UpdateBrainFlowState engineId=7 vPifoId=1 flowId=903 data=2
