platform,part,vflows,resource,unit,pifo_one,pifo_count,pifo_total,available,measurement_kind,count_definition,capacity_source,pifo_source,configuration,rio_only,value,utilization_percent,exceeds_capacity,source
vivado,xcku5p-ffvb676-2-e,128,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,static,501.0,501.0,104.375,True,../runs/pe5-v128-c1024-q256-static-vivado/resource-summary.json
vivado,xcku5p-ffvb676-2-e,128,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v128-c1024-vivado/resource-summary.json,replay,681.0,681.0,141.875,True,../runs/pe5-v128-c1024-q256-replay-vivado/resource-summary.json
quartus,AGFB014R24B2E2V,256,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v256-c1024-quartus/resource-summary.json,static,2434.10078125,2434.10078125,34.23489143811533,False,../runs/pe5-v256-c1024-q256-static-quartus/resource-summary.json
quartus,AGFB014R24B2E2V,256,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v256-c1024-quartus/resource-summary.json,replay,3842.60078125,3842.60078125,54.04501802039381,False,../runs/pe5-v256-c1024-q256-replay-quartus/resource-summary.json
vivado,xcku5p-ffvb676-2-e,256,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,static,2083.5,2083.5,434.0625,True,../runs/pe5-v256-c1024-q256-static-vivado/resource-summary.json
vivado,xcku5p-ffvb676-2-e,256,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v256-c1024-vivado/resource-summary.json,replay,2883.5,2883.5,600.7291666666666,True,../runs/pe5-v256-c1024-q256-replay-vivado/resource-summary.json
quartus,AGFB014R24B2E2V,512,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,static,10240.028125,10240.028125,144.02289908579468,True,../runs/pe5-v512-c1024-q256-static-quartus/resource-summary.json
quartus,AGFB014R24B2E2V,512,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v512-c1024-quartus/resource-summary.json,replay,16384.028125,16384.028125,230.4364011954993,True,../runs/pe5-v512-c1024-q256-replay-quartus/resource-summary.json
vivado,xcku5p-ffvb676-2-e,512,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,static,8648.5,8648.5,1801.7708333333333,True,../runs/pe5-v512-c1024-q256-static-vivado/resource-summary.json
vivado,xcku5p-ffvb676-2-e,512,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v512-c1024-vivado/resource-summary.json,replay,12171.0,12171.0,2535.625,True,../runs/pe5-v512-c1024-q256-replay-vivado/resource-summary.json
quartus,AGFB014R24B2E2V,1024,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,static,43008.03046875,43008.03046875,604.8949433016878,True,../runs/pe5-v1024-c1024-q256-static-quartus/resource-summary.json
quartus,AGFB014R24B2E2V,1024,m20k_equivalents,M20K equivalents,0.0,5,0.0,7110,inferred_ram_bit_capacity_equivalent,inferred block RAM bits / 20480; packing is not modeled,https://docs.altera.com/api/khub/documents/T99La5fz4bf~McCaFB0bPw/content,../runs/pifo-house-v1024-c1024-quartus/resource-summary.json,replay,69632.03046875,69632.03046875,979.3534524437412,True,../runs/pe5-v1024-c1024-q256-replay-quartus/resource-summary.json
vivado,xcku5p-ffvb676-2-e,1024,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,static,35851.0,35851.0,7468.958333333333,True,../runs/pe5-v1024-c1024-q256-static-vivado/resource-summary.json
vivado,xcku5p-ffvb676-2-e,1024,bram36_tiles,BRAM36 equivalents,0.0,5,0.0,480,mapped_bram36_tile_equivalent,RAMB36 primitives + RAMB18 primitives / 2,native reports/utilization.rpt: Block RAM Tile / Available,../runs/pifo-house-v1024-c1024-vivado/resource-summary.json,replay,51213.5,51213.5,10669.479166666666,True,../runs/pe5-v1024-c1024-q256-replay-vivado/resource-summary.json
