cycle,request_id,global_flow_id,size_bytes
527,194,2,48
529,195,3,48
532,196,4,48
535,197,1,48
538,198,2,48
540,199,3,48
543,200,4,48
545,201,1,48
548,202,2,48
550,203,3,48
553,204,4,48
556,205,1,48
559,206,2,48
561,207,3,48
564,208,4,48
567,209,1,48
570,210,2,48
572,211,3,48
575,212,4,48
578,213,1,48
581,214,2,48
583,215,3,48
586,216,4,48
589,217,1,48
592,218,2,48
594,219,3,48
597,220,4,48
600,221,1,48
603,222,2,48
605,223,3,48
608,224,4,48
611,225,1,48
614,226,2,48
616,227,3,48
619,228,4,48
622,229,1,48
625,230,2,48
627,231,3,48
630,232,4,48
633,233,1,48
636,234,2,48
638,235,3,48
641,236,4,48
644,237,1,48
647,238,2,48
649,239,3,48
652,240,4,48
655,241,1,48
658,242,2,48
660,243,3,48
663,244,4,48
665,245,1,48
668,246,2,48
670,247,3,48
673,248,4,48
676,249,1,48
679,250,2,48
681,251,3,48
684,252,4,48
687,253,1,48
690,254,2,48
692,255,3,48
695,256,4,48
698,257,1,48
701,258,2,48
703,259,3,48
706,260,4,48
709,261,1,48
712,262,2,48
714,263,3,48
717,264,4,48
720,265,1,48
723,266,2,48
725,267,3,48
728,268,4,48
731,269,1,48
734,270,2,48
736,271,3,48
739,272,4,48
742,273,1,48
745,274,2,48
747,275,3,48
750,276,4,48
753,277,1,48
756,278,2,48
758,279,3,48
761,280,4,48
764,281,1,48
767,282,2,48
769,283,3,48
772,284,4,48
775,285,1,48
778,286,2,48
780,287,3,48
783,288,4,48
785,289,1,48
788,290,2,48
790,291,3,48
793,292,4,48
796,293,1,48
799,294,2,48
801,295,3,48
804,296,4,48
807,297,1,48
810,298,2,48
812,299,3,48
815,300,4,48
818,301,1,48
821,302,2,48
823,303,3,48
826,304,4,48
829,305,1,48
832,306,2,48
834,307,3,48
837,308,4,48
840,309,1,48
843,310,2,48
845,311,3,48
848,312,4,48
851,313,1,48
854,314,2,48
856,315,3,48
859,316,4,48
862,317,1,48
865,318,2,48
867,319,3,48
870,320,4,48
873,321,1,48
876,322,2,48
878,323,3,48
881,324,4,48
884,325,1,48
887,326,2,48
889,327,3,48
892,328,4,48
895,329,1,48
898,330,2,48
900,331,3,48
903,332,4,48
905,333,1,48
908,334,2,48
910,335,3,48
913,336,4,48
916,337,1,48
919,338,2,48
921,339,3,48
924,340,4,48
927,341,1,48
930,342,2,48
932,343,3,48
935,344,4,48
938,345,1,48
941,346,2,48
943,347,3,48
946,348,4,48
949,349,1,48
952,350,2,48
954,351,3,48
957,352,4,48
960,353,1,48
963,354,2,48
965,355,3,48
968,356,4,48
971,357,1,48
974,358,2,48
976,359,3,48
979,360,4,48
982,361,1,48
985,362,2,48
987,363,3,48
990,364,4,48
993,365,1,48
996,366,2,48
998,367,3,48
1001,368,4,48
1004,369,1,48
1007,370,2,48
1009,371,3,48
1012,372,4,48
1015,373,1,48
1018,374,2,48
1020,375,3,48
1023,376,4,48
1025,377,1,48
1028,378,2,48
1030,379,3,48
1033,380,4,48
1036,381,1,48
1039,382,2,48
1041,383,3,48
1044,384,4,48
1047,385,1,48
1050,386,2,48
1052,387,3,48
1055,388,4,48
1058,389,1,48
1061,390,2,48
1063,391,3,48
1066,392,4,48
1069,393,1,48
1072,394,2,48
1074,395,3,48
1077,396,4,48
1080,397,1,48
1083,398,2,48
1085,399,3,48
1088,400,4,48
1091,401,1,48
1094,402,2,48
1096,403,3,48
1099,404,4,48
1102,405,1,48
1105,406,2,48
1107,407,3,48
1110,408,4,48
1113,409,1,48
1116,410,2,48
1118,411,3,48
1121,412,4,48
1124,413,1,48
1127,414,2,48
1129,415,3,48
1132,416,4,48
1135,417,1,48
1138,418,2,48
1140,419,3,48
1143,420,4,48
1145,421,1,48
1148,422,2,48
1150,423,3,48
1153,424,4,48
1156,425,1,48
1159,426,2,48
1161,427,3,48
1164,428,4,48
1167,429,1,48
1170,430,2,48
1172,431,3,48
1175,432,4,48
1178,433,1,48
1181,434,2,48
1183,435,3,48
1186,436,4,48
1189,437,1,48
1192,438,2,48
1194,439,3,48
1197,440,4,48
1200,441,1,48
1203,442,2,48
1205,443,3,48
1208,444,4,48
1211,445,1,48
1214,446,2,48
1216,447,3,48
1219,448,4,48
1222,449,1,48
1225,450,2,48
1227,451,3,48
1230,452,4,48
1233,453,1,48
1236,454,2,48
1238,455,3,48
1241,456,4,48
1244,457,1,48
1247,458,2,48
1249,459,3,48
1252,460,4,48
1255,461,1,48
1258,462,2,48
1260,463,3,48
1263,464,4,48
1265,465,1,48
1268,466,2,48
1270,467,3,48
1273,468,4,48
1276,469,1,48
1279,470,2,48
1281,471,3,48
1284,472,4,48
1287,473,1,48
1290,474,2,48
1292,475,3,48
1295,476,4,48
1298,477,1,48
1301,478,2,48
1303,479,3,48
1306,480,4,48
1309,481,1,48
1312,482,2,48
1314,483,3,48
1317,484,4,48
1320,485,1,48
1323,486,2,48
1325,487,3,48
1328,488,4,48
1331,489,1,48
1334,490,2,48
1336,491,3,48
1339,492,4,48
1342,493,1,48
1345,494,2,48
1347,495,3,48
1350,496,4,48
1353,497,1,48
1356,498,2,48
1358,499,3,48
1361,500,4,48
1364,501,1,48
1367,502,2,48
1369,503,3,48
1372,504,4,48
1375,505,1,48
