platform,vflows,configuration,resource,component,value,source
vivado,128,dynamic,bram36_tiles,pre_mapper,0,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,bram36_tiles,engine_cam,320,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,bram36_tiles,replay_log,0,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,bram36_tiles,other,0,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,uram288_blocks,post_mapper,0,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,uram288_blocks,pre_mapper,0,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,uram288_blocks,engine_cam,0,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,uram288_blocks,replay_log,0,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,uram288_blocks,other,0,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,bram_uram_allocated_bits,post_mapper,26542080,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,bram_uram_allocated_bits,pre_mapper,0,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,bram_uram_allocated_bits,engine_cam,11796480,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,bram_uram_allocated_bits,replay_log,0,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,bram_uram_allocated_bits,other,0,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,replay,bram36_tiles,post_mapper,360,runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,bram36_tiles,pre_mapper,0,runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,bram36_tiles,engine_cam,320,runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,bram36_tiles,replay_log,14,runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,bram36_tiles,other,0,runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,uram288_blocks,post_mapper,0,runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,uram288_blocks,pre_mapper,0,runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,uram288_blocks,engine_cam,0,runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,uram288_blocks,replay_log,0,runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,uram288_blocks,other,0,runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,bram_uram_allocated_bits,post_mapper,13271040,runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,bram_uram_allocated_bits,pre_mapper,0,runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,bram_uram_allocated_bits,engine_cam,11796480,runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,bram_uram_allocated_bits,replay_log,516096,runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,bram_uram_allocated_bits,other,0,runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
quartus,1024,static,block_memory_bits,post_mapper,545259520,runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,static,block_memory_bits,pre_mapper,0,runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,static,block_memory_bits,engine_cam,335544320,runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,static,block_memory_bits,replay_log,0,runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,static,block_memory_bits,other,792,runs/rio-only-pe5-v1024-c1024-static-quartus/resource-summary.json
quartus,1024,dynamic,block_memory_bits,post_mapper,2181038080,runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
quartus,1024,dynamic,block_memory_bits,pre_mapper,0,runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
quartus,1024,dynamic,block_memory_bits,engine_cam,335544320,runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
quartus,1024,dynamic,block_memory_bits,replay_log,0,runs/rio-only-pe5-v1024-c1024-dynamic-quartus/resource-summary.json
