window_start_cycle,window_end_cycle,time_relative_to_start,total_bytes_per_cycle,total_link_fraction,flow_1_bytes_per_cycle,flow_2_bytes_per_cycle,flow_1_link_fraction,flow_2_link_fraction
113,433,-328,22.4333415641,0.35052096194,11.2526506232,11.180690941,0.175822665987,0.174698295953
121,441,-320,22.429994176,0.350468658999,11.1699213835,11.2600727925,0.174530021617,0.175938637382
129,449,-312,22.4279193267,0.35043623948,11.0938008347,11.3341184921,0.173340638042,0.177095601438
137,457,-304,22.4271007758,0.350423449622,11.0256229527,11.4014778231,0.172275358636,0.178148090986
145,465,-296,22.4318010345,0.350496891164,10.9696917402,11.4621092943,0.17140143344,0.179095457724
153,473,-288,22.4440112684,0.350687676069,10.9275779195,11.5164333489,0.170743404992,0.179944271077
161,481,-280,22.4658877716,0.351029496431,10.8993857587,11.566502013,0.170302902479,0.180726593952
169,489,-272,22.5003763895,0.351568381086,10.8864728691,11.6139035203,0.17010113858,0.181467242505
177,497,-264,22.5479074435,0.352311053805,10.890683908,11.6572235355,0.170166936063,0.182144117742
185,505,-256,22.6094236534,0.353272244584,10.9144868614,11.694936792,0.170538857209,0.182733387375
193,513,-248,22.6851091659,0.354454830717,10.9568147605,11.7282944054,0.171200230633,0.183254600084
201,521,-240,22.7730766775,0.355829323086,11.0120730832,11.7610035943,0.172063641925,0.183765681161
209,529,-232,22.8707379216,0.357355280025,11.0767684929,11.7939694287,0.173074507702,0.184280772323
217,537,-224,22.9759900623,0.358999844723,11.1496926685,11.8262973938,0.174213947945,0.184785896777
225,545,-216,23.0878134815,0.360747085649,11.2301062949,11.8577071867,0.175470410857,0.185276674792
233,553,-208,23.1949081727,0.362420440199,11.3110470762,11.8838610965,0.176735110566,0.185685329633
241,561,-200,23.2923269207,0.363942608136,11.3890989226,11.9032279981,0.177954670666,0.18598793747
249,569,-192,23.3795315225,0.365305180039,11.463977245,11.9155542775,0.179124644452,0.186180535586
257,577,-184,23.4491147041,0.366392417251,11.5298642256,11.9192504785,0.180154128525,0.186238288726
265,585,-176,23.4951281422,0.367111377221,11.5826853623,11.9124427799,0.180979458785,0.186131918436
273,593,-168,23.5198834139,0.367498178342,11.6255162532,11.8943671607,0.181648691456,0.185849486887
281,601,-160,23.5244866382,0.367570103722,11.6570940063,11.8673926319,0.182142093849,0.185428009873
289,609,-152,23.5061125822,0.367283009097,11.6749917758,11.8311208064,0.182421746496,0.1848612626
297,617,-144,23.4678106533,0.366684541458,11.6828427379,11.7849679154,0.182544417779,0.184140123678
305,625,-136,23.3996110746,0.365618923041,11.6768881161,11.7227229586,0.182451376814,0.183167546228
313,633,-128,23.2904666245,0.363913541008,11.6500081946,11.6404584299,0.182031378041,0.181882162967
321,641,-120,23.130960414,0.361421256468,11.5975077015,11.5334527125,0.181211057836,0.180210198632
329,649,-112,22.9113874579,0.357990429029,11.5141472108,11.3972402471,0.179908550169,0.17808187886
337,657,-104,22.6202520397,0.35344143812,11.3929513074,11.2273007323,0.178014864178,0.175426573942
345,665,-96,22.2476203045,0.347619067257,11.22906118,11.0185591245,0.175454080938,0.17216498632
353,673,-88,21.7864749661,0.340413671345,11.0201753919,10.7662995742,0.172190240498,0.168223430847
361,681,-80,21.2343243189,0.331786317482,10.7640275162,10.4702968026,0.168187929941,0.163598387541
369,689,-72,20.5926560936,0.321760251463,10.4594449858,10.1332111078,0.163428827904,0.158331423559
377,697,-64,19.862411402,0.310350178156,10.1083237755,9.75408762651,0.157942558992,0.152407619164
385,705,-56,19.0490569797,0.297641515308,9.71416646696,9.33489051274,0.151783851046,0.145857664262
393,713,-48,18.1616572031,0.283775893799,9.28108947715,8.88056772599,0.14501702308,0.138758870719
401,721,-40,17.2059072383,0.268842300598,8.81418087306,8.39172636522,0.137721576142,0.131120724457
409,729,-32,16.1881526045,0.252939884446,8.31592318937,7.87222941517,0.129936299834,0.123003584612
417,737,-24,15.1217702409,0.236277660014,7.79169384458,7.33007639632,0.121745216322,0.114532443693
425,745,-16,14.0190612811,0.219047832517,7.24758329512,6.77147798599,0.113243488986,0.105804343531
433,753,-8,12.8909826824,0.201421604412,6.6888676037,6.20211507868,0.104513556308,0.0969080481043
441,761,0,11.7512862177,0.183613847152,6.12141031694,5.62987590081,0.0956470362022,0.0879668109501
449,769,8,10.6156128392,0.165868950613,5.55245939095,5.0631534483,0.0867571779836,0.0791117726296
457,777,16,9.49775536606,0.148402427595,4.98888967117,4.50886569489,0.077951401112,0.0704510264826
465,785,24,8.40891981769,0.131389372151,4.43541316082,3.97350665687,0.0693033306378,0.0620860415136
473,793,32,7.36153339411,0.115023959283,3.89918490187,3.46234849224,0.0609247640917,0.0540991951913
481,801,40,6.36538836546,0.0994591932103,3.38675106582,2.97863729964,0.0529179854035,0.0465412078068
489,809,48,5.42963777772,0.0848380902769,2.90265565216,2.52698212556,0.045353994565,0.0394840957119
497,817,56,4.56138932596,0.0712717082182,2.44946691302,2.11192241294,0.038272920516,0.0329987877022
505,825,64,3.76571211249,0.0588392517576,2.03071038724,1.73500172525,0.0317298498006,0.027109401957
513,833,72,3.04621407942,0.0475970949909,1.64960466394,1.39660941548,0.0257750728741,0.0218220221169
521,841,80,2.41436365234,0.0377244320678,1.31225523903,1.10210841331,0.0205039881099,0.017220443958
529,849,88,1.88092303451,0.0293894224142,1.02518010056,0.855742933953,0.0160184390712,0.013370983343
537,857,96,1.45403284004,0.0227192631256,0.790489785941,0.663543054096,0.0123514029053,0.0103678602202
545,865,104,1.13946248732,0.0178041013644,0.610568155077,0.528894332246,0.00954012742308,0.00826397394134
553,873,112,0.944658166635,0.0147602838537,0.487446943989,0.457211222646,0.00761635849983,0.00714392535384
561,881,120,0.872975713389,0.0136402455217,0.425521520891,0.447454192497,0.00664877376393,0.00699147175777
569,889,128,0.925610113958,0.0144626580306,0.423395252253,0.502214861705,0.00661555081646,0.00784710721413
577,897,136,1.09940757561,0.0171782433689,0.483053952607,0.616353623,0.00754771800948,0.00963052535937
585,905,144,1.38883410533,0.0217005328958,0.600196685404,0.788637419928,0.00937807320943,0.0123224596864
593,913,152,1.77856432853,0.0277900676333,0.766043687345,1.01252064119,0.0119694326148,0.0158206350185
601,921,160,2.25961845064,0.0353065382912,0.97842902919,1.28118942145,0.0152879535811,0.0200185847101
609,929,168,2.8182724099,0.0440355064046,1.23312699833,1.58514541157,0.0192676093489,0.0247678970557
617,937,176,3.44394687232,0.0538116698799,1.52396908476,1.91997778756,0.0238120169494,0.0299996529306
625,945,184,4.12910883723,0.0645173255817,1.84713814422,2.28197069301,0.0288615335035,0.0356557920782
633,953,192,4.87277409955,0.0761370953054,2.2038057627,2.66896833684,0.0344344650422,0.0417026302632
641,961,200,5.66490683864,0.0885141693537,2.58935961833,3.0755472203,0.0404587440365,0.0480554253172
649,969,208,6.50071067954,0.101573604368,3.00490167446,3.49580900508,0.0469515886634,0.0546220157044
657,977,216,7.37103074946,0.11517235546,3.44407223823,3.92695851123,0.0538136287223,0.061358726738
665,985,224,8.26745533946,0.129178989679,3.90408542492,4.36336991454,0.0610013347644,0.0681776549147
673,993,232,9.17654231679,0.1433834737,4.37644102821,4.80010128858,0.0683818910658,0.075001582634
681,1001,240,10.0841754111,0.157565240799,4.85461262802,5.22956278311,0.0758533223127,0.0817119184861
689,1009,248,10.9805181767,0.171570596511,5.33079598687,5.64972218981,0.0832936872949,0.0882769092158
697,1017,256,11.8526644472,0.185197881987,5.79924888716,6.05341556002,0.0906132638619,0.0945846181253
705,1025,264,12.6891380156,0.198267781494,6.25279168866,6.43634632695,0.0976998701353,0.100567911359
713,1033,272,13.4770457281,0.210578839501,6.68459047373,6.79245525433,0.104446726152,0.106132113349
721,1041,280,14.2103692182,0.222037019035,7.08815743741,7.12221178081,0.11075245996,0.111284559075
729,1049,288,14.8780787183,0.232469979974,7.45648368189,7.42159503644,0.116507557529,0.115962422444
737,1057,296,15.4791088824,0.241861076287,7.78796891046,7.69113997193,0.121687014226,0.120174062061
745,1065,304,16.0068435428,0.250106930357,8.07823772073,7.92860582209,0.126222464386,0.12388446597
753,1073,312,16.462556677,0.257227448078,8.32796561054,8.13459106645,0.130124462665,0.127102985413
761,1081,320,16.8437310841,0.263183298189,8.53456833176,8.30916275232,0.133352630184,0.129830668005
