run,time_relative_to_start,total_link_fraction,flow_1_link_fraction,flow_2_link_fraction,flow_3_link_fraction
R3: whole-tree replace,4836,0.799996327732376,0.40000426365493413,0.19999486849958814,0.19999719557785364
R3: whole-tree replace,4848,0.7999998018818774,0.40000599440563894,0.19999923001226644,0.19999457746397195
R3: whole-tree replace,4860,0.800002415172161,0.39999642076652203,0.2000087988277854,0.1999971955778536
R3: whole-tree replace,4872,0.7999998139283742,0.39999293698315636,0.20000184330255003,0.20000503364266772
R3: whole-tree replace,4884,0.8000006771902264,0.39999990214225584,0.1999957414053028,0.20000503364266772
R3: whole-tree replace,4896,0.7999573088637106,0.3999652447862689,0.19999486849958814,0.19999719557785364
R3: whole-tree replace,4908,0.7992602522866467,0.39861132376809844,0.200236800739581,0.20041212777896725
R3: whole-tree replace,4920,0.7966853811922182,0.39409184169047784,0.20074086874375416,0.20185267075798619
R3: whole-tree replace,4932,0.7888190123520811,0.38489476972068537,0.20053669403125482,0.2033875486001409
R3: whole-tree replace,4944,0.7724752005999979,0.36992024092531295,0.1986919421159184,0.2038630175587665
R3: whole-tree replace,4956,0.745304732862638,0.34863862913713156,0.19438644208779618,0.20227966163771022
R3: whole-tree replace,4968,0.7060359124999822,0.32119234448809136,0.18703977373998942,0.19780379427190145
R3: whole-tree replace,4980,0.6545534415975522,0.2883104319638268,0.17637144108631325,0.18987156854741227
R3: whole-tree replace,4992,0.5919852425398835,0.2512802629793159,0.1624444538502427,0.17826052571032486
R3: whole-tree replace,5004,0.5205444955053964,0.21174912510978225,0.14568093286459205,0.16311443753102206
R3: whole-tree replace,5016,0.4433201100304296,0.17161115406038635,0.12673320464551915,0.14497575132452406
R3: whole-tree replace,5028,0.36398076120991096,0.13286990147864286,0.1064660515508962,0.12464480818037191
R3: whole-tree replace,5040,0.28636615235894347,0.09736923698018568,0.0858742423596182,0.1031226730191396
R3: whole-tree replace,5052,0.21418347400989218,0.06665500541861491,0.06600024385296303,0.08152822473831424
R3: whole-tree replace,5064,0.15059486506177927,0.04175110502953117,0.04785315282320175,0.06099060720904634
