platform,vflows,configuration,resource,unit,rio_only,pifo_one,pifo_count,pifo_total,value,source,pifo_source,measurement_kind
quartus,128,static,dsp_blocks,blocks,0,0.0,5,0.0,0.0,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,logic_alms,ALMs,10291,53095.0,5,265475.0,275766.0,../replay-sweep/runs/rio-replay-pe5-v128-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,logic_aluts,ALUTs,12754,74764.0,5,373820.0,386574.0,../replay-sweep/runs/rio-replay-pe5-v128-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,registers,bits,8701,25646.0,5,128230.0,136931.0,../replay-sweep/runs/rio-replay-pe5-v128-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,block_memory_bits,bits,18879076,0.0,5,0.0,18879076.0,../replay-sweep/runs/rio-replay-pe5-v128-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,mlab_memory_bits,bits,0,0.0,5,0.0,0.0,../replay-sweep/runs/rio-replay-pe5-v128-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,replay,dsp_blocks,blocks,0,0.0,5,0.0,0.0,../replay-sweep/runs/rio-replay-pe5-v128-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json,sum_of_synthesized_components
vivado,128,static,logic_luts,LUTs,7362,104800.0,5,524000.0,531362.0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,static,registers,bits,6107,25676.0,5,128380.0,134487.0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,static,bram36_tiles,tiles,500.0,0.0,5,0.0,500.0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json,sum_of_synthesized_components
vivado,128,static,uram288_blocks,blocks,0,0.0,5,0.0,0.0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-vivado/resource-summary.json,sum_of_synthesized_components
