cycle,phase,command,engine_id,vpifo_id,flow_id,data,copied_entries
4121,dispatched,UpdateRankGroup,1,1,3,0,
4122,dispatched,UpdateBrainEngine,3,4,0,0,
4123,dispatched,UpdateBrainState,3,4,0,0,
4124,dispatched,UpdateRankGroup,1,1,4,0,
4125,dispatched,UpdateBrainEngine,2,4,0,0,
4126,dispatched,UpdateRankQuantum,1,1,4,0,
4127,dispatched,UpdateMapperPost,1,1,19,0,
4128,dispatched,UpdateMapperPost,2,4,35,0,
4129,dispatched,UpdateMapperPost,3,3,51,0,
4130,dispatched,UpdateMapperPre,3,3,0,0,
4131,dispatched,UpdateMapperPost,1,1,20,0,
4132,dispatched,UpdateMapperPost,2,4,36,0,
4133,dispatched,UpdateMapperPost,3,4,52,0,
4134,dispatched,UpdateMapperPre,3,4,0,0,
4135,dispatched,CommitMapper,1,0,0,0,
4135,committed,CommitMapper,1,0,0,0,
4136,replayed,UpdateMapperPost,1,1,19,0,
4137,replayed,UpdateMapperPost,2,4,35,0,
4138,replayed,UpdateMapperPost,3,3,51,0,
4139,replayed,UpdateMapperPre,3,3,0,0,
4140,replayed,UpdateMapperPost,1,1,20,0,
4141,replayed,UpdateMapperPost,2,4,36,0,
4142,replayed,UpdateMapperPost,3,4,52,0,
4143,replayed,UpdateMapperPre,3,4,0,0,
