part	device	family
xcvu11p-fsgd2104-1-i	xcvu11p	virtexuplus
xcvu11p-fsgd2104-2-e	xcvu11p	virtexuplus
xcvu11p-fsgd2104-2-i	xcvu11p	virtexuplus
xcvu11p-fsgd2104-2L-e	xcvu11p	virtexuplus
xcvu11p-fsgd2104-2LV-e	xcvu11p	virtexuplus
xcvu11p-fsgd2104-3-e	xcvu11p	virtexuplus
xcvu11p_CIV-flga2577-1-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flga2577-1-i	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flga2577-2-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flga2577-2-i	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flga2577-2L-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flga2577-2LV-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flga2577-3-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgb2104-1-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgb2104-1-i	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgb2104-2-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgb2104-2-i	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgb2104-2L-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgb2104-2LV-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgb2104-3-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgc2104-1-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgc2104-1-i	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgc2104-2-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgc2104-2-i	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgc2104-2L-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgc2104-2LV-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgc2104-3-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgf1924-1-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgf1924-1-i	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgf1924-2-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgf1924-2-i	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgf1924-2L-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgf1924-2LV-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-flgf1924-3-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-fsgd2104-1-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-fsgd2104-1-i	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-fsgd2104-2-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-fsgd2104-2-i	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-fsgd2104-2L-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-fsgd2104-2LV-e	xcvu11p_CIV	virtexuplus
xcvu11p_CIV-fsgd2104-3-e	xcvu11p_CIV	virtexuplus
xcvu13p-fhga2104-1-e	xcvu13p	virtexuplus
xcvu13p-fhga2104-1-i	xcvu13p	virtexuplus
xcvu13p-fhga2104-2-e	xcvu13p	virtexuplus
xcvu13p-fhga2104-2-i	xcvu13p	virtexuplus
xcvu13p-fhga2104-2L-e	xcvu13p	virtexuplus
xcvu13p-fhga2104-2LV-e	xcvu13p	virtexuplus
xcvu13p-fhga2104-3-e	xcvu13p	virtexuplus
xcvu13p-fhgb2104-1-e	xcvu13p	virtexuplus
xcvu13p-fhgb2104-1-i	xcvu13p	virtexuplus
xcvu13p-fhgb2104-2-e	xcvu13p	virtexuplus
xcvu13p-fhgb2104-2-i	xcvu13p	virtexuplus
xcvu13p-fhgb2104-2L-e	xcvu13p	virtexuplus
xcvu13p-fhgb2104-2LV-e	xcvu13p	virtexuplus
xcvu13p-fhgb2104-3-e	xcvu13p	virtexuplus
xcvu13p-fhgc2104-1-e	xcvu13p	virtexuplus
xcvu13p-fhgc2104-1-i	xcvu13p	virtexuplus
xcvu13p-fhgc2104-2-e	xcvu13p	virtexuplus
xcvu13p-fhgc2104-2-i	xcvu13p	virtexuplus
xcvu13p-fhgc2104-2L-e	xcvu13p	virtexuplus
xcvu13p-fhgc2104-2LV-e	xcvu13p	virtexuplus
xcvu13p-fhgc2104-3-e	xcvu13p	virtexuplus
xcvu13p-figd2104-1-e	xcvu13p	virtexuplus
xcvu13p-figd2104-1-i	xcvu13p	virtexuplus
xcvu13p-figd2104-2-e	xcvu13p	virtexuplus
xcvu13p-figd2104-2-i	xcvu13p	virtexuplus
xcvu13p-figd2104-2L-e	xcvu13p	virtexuplus
